1424590997,220127 1437,220206 1833,300.00,300.00,GTX 1660 TRIPPLE FAN,This GPU has been used but is still in perfect condition GTX 1660 TRIPPLE FAN.
1424561743,220127 0725,220127 0725,295.00,295.00,Gtx 1660 graphics card gpu pc gaming,Gtx 1660 gpu for gaming pc. Very good condition and works perfectly.
1424547239,220126 2022,220128 1332,350.00,250.00,GTX 1660 Super (Zotac Twinfan),"Used for about 2 years, bought in the midst of first lockdown to replace a broken rx 580 and used up until about 3 months ago when i replaced it with an RTX 3060ti, Had decent results overclocking it and it stays cool for a card it's size. Perfect ca"
1424533635,220126 1730,220404 1137,350.00,200.00,1660 ti,"Used and mined for a couple weeks in my 2 gpu gaming computer, no point mining with just 2 gpus so I'm selling them to get something just for gaming."
1424533225,220126 1730,220404 1137,350.00,250.00,1660 Super,"Bought it last October, selling it now. It mined for a couple weeks but no point unless you have 20 of them and I had only 2. Do what you will with this info. Does 30mhs on nicehash medium settings."
1424478832,220126 1730,220405 2315,360.00,275.00,Triple Fan 1660 SUPER,"Triple fan ready for any title. Gigabyte 6GB mem Triple Fan 1660 SUPER. Posted by Thai in Computers, Laptops & Netbooks, Video Cards & Sound Cards in Portishead. 25 January 2022"
1424478763,220126 1730,220405 2315,350.00,275.00,Gigabyte 1660 SUPER,"Twin fan 1660 SUPER. Awesome card suitable for any gamer. 6GB Gigabyte 1660 SUPER. Posted by Thai in Computers, Laptops & Netbooks, Video Cards & Sound Cards in Portishead. 25 January 2022"
1424478707,220126 1730,220405 2315,350.00,275.00,MSI 1660 SUPER,"Fantastic card which handles all games with ease 6GB Mem MSI 1660 SUPER. Posted by Thai in Computers, Laptops & Netbooks, Video Cards & Sound Cards in Portishead. 25 January 2022"
1424457781,220125 1730,220131 1404,280.00,280.00,Gigabyte gtx 1660 oc 6gb,"Gigabyte GTX 1660 OC 6gb Graphics card Used lightly for less than 2 months before upgrading to 2060 RTX, Open to offers, this is pick up only please. WINDFORCE 2X COOLING SYSTEM WINDFORCE 2X cooling system features 2x 90mm unique blade fans,"
1424457675,220125 1730,220202 0923,325.00,325.00,GTX 1660 graphics card,"Here I have my GTX 1660 for sale. This is the EVGA XC version which is a 3 slot graphics card, check clearance before purchase. The gpu performs brilliantly in games such as rocket league, forza horizon, gta and assassins creed. Haven't tried mi"
1424437149,220125 1730,220223 1626,349.99,299.99,Nvidia GTX 1660 6GB GDDR5 NEW,Card is new only once opened to test! With box and memory is SAMSUNG!
1424392356,220125 1730,220202 0923,270.00,240.00,Zotac Gaming GTX1660 / GTX 1660 6GB DDR5,"Card is in perfect, working condition. Able to play all modern games. Its very quiet and power efficient. Full box. We can test it on collection. Cash or bank transfer."
1424348687,220124 1730,220202 0923,300.00,300.00,Gigabyte Gtx 1660 Gaming oc 3 fan edition . GPU ONLY,Only reason for sale is I've now upgraded to a 6700XT. The card is great condition never skipped a beat . I only really play driving simulators so hasn't even been stressed . Only coming up a year old . Still have box and everything it came with .
1424326646,220124 1730,220128 1332,300.00,300.00,MSI Ventus XS GTX 1660 Super,"As per the title, for sale is a MSI GeForce GTX 1660 SUPER 6GB GDDR6, can be shown working before hand, item has been taken from an upgraded system and is spotless."
1424282520,220123 1730,220202 0923,250.00,250.00,Geforce GTX 1660,"Good condition, rarely ever used, open to offers local collection please, happy to post"
1424186659,220122 1730,220210 1843,299.99,239.99,ASUS Phoenix GeForce GTX 1660 SUPER OC Edition 6 GB GDDR6,Card is cool and quite perfect working condition. Play all games on 1080p and 1440p on highest setings. OC Edition: Boost Clock 1830 MHz (OC Mode)/ 1800 MHz (Gaming Mode) Collection only.
1423763895,220116 1730,220624 1241,430.00,330.00,Gtx 1660,Gtx 1660 6 gb gigabyte oc edition only like new used for 2 months
1423701906,220116 1730,220130 1453,340.00,340.00,Gigabyte GeForce GTX 1660 Super OC Edition,"Gigabyte GeForce GTX 1660 Super OC Edition, 6GB GDDR6, Dual Fan Comes in original box with Quick Start Guide and Driver/Utility CD My son has upgraded his Graphics card and is selling his old GTX 1660 Super. The card is in full working order"
1423700620,220116 1730,220130 1453,18000.00,18000.00,60x 1660 super 1660s,I have 60 used great condition Nvidia 1660s Cash only - collect in person only
1423509352,220114 1730,220502 1459,250.00,235.00,EVGA 1660 SUPER GRAPHICS CARD,EVGA Geforce Gtx 1660 Super 6GB Gddr6. Item sealed. Bought for computer but never used. Genuine part. No returns accepted.
1423404202,220112 1730,220128 1332,310.00,310.00,Zotac MSI GTX 1660,"Great card that can play almost any game at 1080p, even played some vr games like half life alyx Only selling because of an upgrade"
1423325156,220111 1730,220128 1332,350.00,350.00,Nvidia GTX 1660 Graphics Card,Graphics card only used for about 6 months can show video of it runnings on arrival.
1423316708,220111 1730,220710 1036,350.00,200.00,MSI NVIDIA GeForce GTX 1660 6GB Super Gaming X Graphics Card,"MSI NVIDIA GeForce GTX 1660 6GB Super Gaming X Graphics Card - £350 MSI GeForce GTX 1660 GAMING X 6G - £320 In good condition and perfect working order,  comes with orginal box . Cash on collection or bank transfer."
1421826269,220124 1730,220328 1151,350.00,295.00,[NEW] MSI GEFORCE GTX 1660 SUPER VENTUS XS,"New and unused. Opened to check condition, which is as new. (See images). Collection or delivery if very close. Thanks for looking! MSI GeForce GTX 1660 SUPER VENTUS XS OC Graphics Card '6GB GDDR6, 1815MHz, 3x DisplayPort, HDMI, Dual Fan Cooling"
1289626606,220126 1730,220224 0817,439.00,439.00,New & Sealed Gigabyte GeForce GTX 1660 Ti OC 6GIG Graphics Card,New Gigabyte GeForce GTX 1660 Ti OC 6GIG Graphics Card NEW AND SEALED WITH A INVOICE TO CLAIM MANUFACTURER 3 YEARS WARRANTY
1413567398,220128 0132,220226 2342,300.00,300.00,Gigabyte GeForce GTX 1660 6Gb graphics card,"GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphic Card used for few months, working well, ideal for mid range gaming, comes with original box, looks and works like new, please see pictures. Any questions just ask. I have it on eBay too. Collection only"
1422329161,220129 2248,220131 1404,300.00,300.00,Msi gtx 1660 OC edition Graphics card,"Amazing condition with no dust and is fully working, comes in the original box. If you have any questions feel free to send a message I can always accept offers but nothing too low."
1424755541,220129 1648,220203 1827,280.00,280.00,Gtx 1660 6gb armor oc,For sale graphic gtx 1660 6gb armor oc in excellent condition works perfectly fine with issues Never overclocked it overheated. Can drop off if needed
1424719770,220129 1453,220209 1225,325.00,275.00,GALAX 1660 General 6GB,6GB 1660 GPU good for HD gaming. Runs quietly and and low temps and can be seen working. *Collection Only *Cash or Bank Transfer Only
1424697484,220129 1453,220208 1440,350.00,350.00,MSI GeForce GTX 1660 Super Graphics Card,MSI GeForce GTX 1660 Super Graphics Card. Offers welcome. Collection or postage delivery. Works perfect.
1424686811,220129 1453,220226 2342,350.00,300.00,ZOTAC NVIDIA GeForce GTX 1660 SUPER 6GB GDDR6 Twin Fan Graphics Card,"Zotac NVIDIA GeForce GTX 1660 Super 6GB dual fan. Virtually brand new having purchased on 7th January 2022 so will include the normal 3 year warranty. Fully working and in good working order, just upgraded to 3070 ti hence selling."
1424812199,211206 1453,220209 1225,375.00,350.00,MSI NVIDIA GeForce GTX 1660 Super 6GB,"Has come off a custom built PC, as I've upgraded. In perfect working order, with box and manual. Welcome to test before buying. £375 ono."
1424872429,220131 1208,220206 1833,300.00,270.00,Gtx 1660 6gb OC,Hi i have for sell graphics card used 1 year good condition is still in my pc
1424857491,220131 0901,220209 1225,350.00,350.00,Gigabyte GeForce GTX 1660 Super,"Brand new box and GPU, still sealed unused. Gigabyte GeForce RTX 1660 Super . Posted by Sam in Computers, Laptops & Netbooks, Video Cards & Sound Cards in Westbury On Trym. 31 January 2022. Free shipping included."
